Aldershot,ˈɔːldərʃɒt,Ald_*ˈɔːld:er_ər:shot_ʃɒt
Dulverton,ˈdʌlvərtən,Dul_*ˈdʌl:ver_vər:ton_tən
Ilfracombe,ˈɪlfrəkuːm,Il_*ˈɪl:fra_frə:combe_kuːm
Hertford,ˈhɑːtfərd,Hert_*ˈhɑːt:ford_fərd
Wirksworth,ˈwɜːkswɜːθ,Wirk_*ˈwɜːk:sworth_swɜːθ
Pitsea,ˈpɪtsi,Pit_*ˈpɪt:sea_si
Loughborough,ˈlʌfbərə,Lough_*ˈlʌf:borough_bərə
Horncastle,ˈhɔːnkɑːsəl,Horn_*ˈhɔːn:castle_kɑːsəl
Chippenham,ˈtʃɪpənəm,Chip_*ˈtʃɪp:pen_ən:ham_əm
Billingham,ˈbɪlɪŋəm,Bil_*ˈbɪl:ling_ɪŋ:ham_əm
Saffron+Walden,ˈsæfrən+ˈwɔːldən,Saffron_*ˈsæfrən*:+_+:Walden_*ˈwɔːldən
Ringwood,ˈrɪŋwʊd,Ring_*ˈrɪŋ:wood_wʊd
Warwick,ˈwɒrɪk,War_*ˈwɒr:wick_ɪk
Kesgrave,ˈkɛsɡreɪv,Kes_*ˈkɛs:grave_ɡreɪv
Uckfield,ˈʌkfild,Uck_*ˈʌk:field_fild
Bottesford,ˈbɒtsfərd,Bottes_*ˈbɒts:ford_fərd
Kidsgrove,ˈkɪdzɡrəʊv,Kids_*ˈkɪdz:grove_ɡrəʊv
Bridport,ˈbrɪdpɔːt,Brid_*ˈbrɪd:port_pɔːt
Elland,ˈɛlənd,El_*ˈɛl:land_ənd
Thatcham,ˈθætʃəm,Thatch_*ˈθætʃ:am_əm
Farnborough,ˈfɑːnbərəʊ,Farn_*ˈfɑːn:borough_bərəʊ
Beverley,ˈbɛvərli,Bev_*ˈbɛv:er_ər:ley_li
Tunbridge+Wells,ˈtʌnbrɪdʒ+ˈwɛlz,Tun_*ˈtʌn:bridge_brɪdʒ*:+_+:Wells_*ˈwɛlz
Falmouth,ˈfælməθ,Fal_*ˈfæl:mouth_məθ
Loughton,ˈlaʊtən,Lough_*ˈlaʊ:ton_tən
Todmorden,ˈtɒdmədən,Tod_*ˈtɒd:mor_məd:den_ən
Harrogate,ˈhærəɡeɪt,Har_*ˈhær:ro_ə:gate_ɡeɪt
Chippenham,ˈtʃɪpənəm,Chip_*ˈtʃɪp:pen_ən:ham_əm
Uppingham,ˈʌpɪŋəm,Up_*ˈʌp:ping_ɪŋ:ham_əm
Measham,ˈmiːʃəm,Mea_*ˈmiː:sham_ʃəm
Ashford,ˈæʃfərd,Ash_*ˈæʃ:ford_fərd
Wadebridge,ˈweɪdbrɪdʒ,Wade_*ˈweɪd:bridge_brɪdʒ
Beccles,ˈbɛkəlz,Becc_*ˈbɛk:les_əlz
Hastings,ˈheɪstɪŋz,Hast_*ˈheɪst:ings_ɪŋz
Clitheroe,ˈklɪðərəʊ,Cli_*ˈklɪ:ther_ðər:oe_əʊ
Swanley,ˈswɔːnli,Swan_*ˈswɔːn:ley_li
Marlow,ˈmɑːrloʊ,Mar_*ˈmɑːr:low_loʊ
Eastleigh,ˈiːstliː,East_*ˈiːst:leigh_liː
Huntingdon,ˈhʌntɪŋdən,Hunt_*ˈhʌnt:ing_ɪŋ:don_dən
Cleckheaton,ˈklekhiːtən,Cleck_*ˈklek:heat_hiːt:on_ən
Uppingham,ˈʌpɪŋəm,Up_*ˈʌp:ping_ɪŋ:ham_əm
Burnham,ˈbɜːrnəm,Burn_*ˈbɜːrn:ham_əm
Fenton,ˈfɛntən,Fen_*ˈfɛn:ton_tən
Edenbridge,ˈiːdənbrɪdʒ,Eden_*ˈiːd:bridge_ənbrɪdʒ
Eastbourne,ˈiːstbɔːrn,East_*ˈiːst:bourne_bɔːrn
Arundel,ˈærəndl,Ar_*ˈær:un_ən:del_dl
Nantwich,ˈnæntwɪtʃ,Nant_*ˈnænt:wich_wɪtʃ
Ossett,ˈɒsɪt,Os_*ˈɒs:sett_ɪt
Luton,ˈluːtən,Lu_*ˈluː:ton_tən
Alsager,ˈɔːlseɪdʒəʳ,Al_*ˈɔːl:sager_seɪdʒəʳ
Datchet,ˈdætʃɪtʃ,Datch_*ˈdætʃ:et_ɪtʃ
Hartlepool,ˈhɑːrtlpuːl,Hart_*ˈhɑːrt:le_l:pool_puːl
Cleethorpes,ˈkliːθɔːrps,Clee_*ˈkliː:thorpes_θɔːrps
Eastbourne,ˈiːstbɔːrn,East_*ˈiːst:bourne_bɔːrn
Ealing,ˈiːlɪŋ,Eal_*ˈiːl:ing_ɪŋ
Wimborne+Minster,ˈwɪmbɔrn+ˈmɪnstəʳ,Wim_*ˈwɪm:borne_bɔrn*:+_+:Minster_*ˈmɪnstəʳ
Barnsley,ˈbɑːrnzli,Barns_*ˈbɑːrnz:ley_li
Wadebridge,ˈweɪdbrɪdʒ,Wade_*ˈweɪd:bridge_brɪdʒ
Thatcham,ˈθætʃəm,Thatch_*ˈθætʃ:am_əm
Sheffield,ˈʃɛfiːld,Shef_*ˈʃɛ:field_fiːld
Frodsham,ˈfrɒdzəm,Frod_*ˈfrɒd:sham_zəm
Marlow,ˈmɑːrloʊ,Mar_*ˈmɑːr:low_loʊ
Calverton,ˈkælvərtən,Cal_*ˈkæl:ver_vər:ton_tən
Towcester,ˈtoʊstər,Tow_*ˈtoʊ:cester_stər
Aylesbury,ˈeɪlzbrɪ,Ayles_*ˈeɪlz:bury_brɪ
Denton,ˈdɛntən,Dent_*ˈdɛnt:on_ən
Failsworth,ˈfeɪlzwɜːθ,Fail_*ˈfeɪl:sworth_zwɜːθ
Quedgeley,ˈkwɛdʒli,Quedge_*ˈkwɛdʒ:ley_li
Burntwood,ˈbɜːntwʊd,Burnt_*ˈbɜːnt:wood_wʊd
Bridport,ˈbrɪdpɔːt,Brid_*ˈbrɪd:port_pɔːt
Ipswich,ˈɪpswɪtʃ,Ips_*ˈɪps:wich_wɪtʃ
Salford,ˈsɒlfərd,Sal_*ˈsɒl:ford_fərd
Brentwood,ˈbrɛntwʊd,Brent_*ˈbrɛnt:wood_wʊd
Chelmsford,ˈtʃɛlmzfərd,Chelms_*ˈtʃɛlmz:ford_fərd
Berkhamsted,ˈbɜːrkəmstɛd,Berk_*ˈbɜːrk:ham_əm:sted_stɛd
Wigan,ˈwɪɡən,Wi_*ˈwɪ:gan_ɡən
Ramsbottom,ˈræmzbɒtəm,Ram_*ˈræm:s_z:bottom_bɒtəm
Amesbury,ˈeɪmzbəri,Ames_*ˈeɪmz:bury_bəri
Halesowen,ˈheɪlzəʊən,Hales_*ˈheɪlz:ow_əʊ:en_ən
Halesworth,ˈheɪlzwɜːθ,Hales_*ˈheɪlz:worth_wɜːθ
Kendal,ˈkɛndəl,Ken_*ˈkɛn:dal_dəl
Woodstock,ˈwʊdstɒk,Wood_*ˈwʊd:stock_stɒk
North+Hykeham,ˈnɔːrθ+ˈhaɪkəm,North_*ˈnɔːrθ*:+_+:Hyke_*ˈhaɪk:ham_əm
Alnwick,ˈælnɪk,Aln_*ˈæln:wick_ɪk
Flitwick,ˈflɪtwɪk,Flit_*ˈflɪt:wick_wɪk
Farnham,ˈfɑːrnəm,Far_*ˈfɑːr:nham_nəm
Cheshunt,ˈtʃɛzənt,Che_*ˈtʃɛ:shunt_zənt
Ringwood,ˈrɪŋwʊd,Ring_*ˈrɪŋ:wood_wʊd
Saltash,ˈsɔːltæʃ,Salt_*ˈsɔːlt:ash_æʃ
Aldridge,ˈɔːldrɪdʒ,Al_*ˈɔːl:dridge_drɪdʒ
Tunbridge+Wells,ˈtʌnbrɪdʒ+ˈwɛlz,Tun_*ˈtʌn:bridge_brɪdʒ*:+_+:Wells_*ˈwɛlz
Chelmsford,ˈtʃɛlmzfərd,Chelms_*ˈtʃɛlmz:ford_fərd
Montgomery,ˈmɒntɡʌməri,Mont_*ˈmɒnt:gom_ɡʌm:ery_əri
Filton,ˈfɪltən,Fil_*ˈfɪl:ton_tən
Bletchley,ˈblɛtʃli,Bletch_*ˈblɛtʃ:ley_li
Grantham,ˈɡrænθəm,Gran_*ˈɡræn:tham_θəm
Godalming,ˈɡɒdəlmɪŋ,Godal_*ˈɡɒdəl:ming_mɪŋ
Hebden+Royd,ˈhɛbdən+rɔɪd,Heb_*ˈhɛb:den_dən*:+_+:Royd_*rɔɪd
Preston,ˈprɛstən,Prest_*ˈprɛst:on_ən
Oakham,ˈəʊkəm,Oak_*ˈəʊk:ham_əm
Sheringham,ˈʃɛrɪŋəm,Sher_*ˈʃɛr:ing_ɪŋ:ham_əm
Biddulph,ˈbɪdʊlf,Bid_*ˈbɪd:dulph_ʊlf
Woking,ˈwəʊkɪŋ,Wok_*ˈwəʊk:ing_ɪŋ
Woking,ˈwəʊkɪŋ,Wo_*ˈwəʊ:k_k:ing_ɪŋ
Hitchin,ˈhɪtʃɪn,Hitch_*ˈhɪtʃ:in_ɪn
Sturminster+Newton,ˈstɜːrmɪnstər+ˈnjuːtən,Stur_*ˈstɜːr:minster_mɪnstər*:+_+:Newton_*ˈnjuːtən
Buckingham,ˈbʌkɪŋəm,Buck_*ˈbʌk:ing_ɪŋ:ham_əm
Bromley,ˈbrɒmli,Brom_*ˈbrɒm:ley_li
Chesham,ˈtʃɛʃəm,Chesh_*ˈtʃɛʃ:am_əm
Ramsbottom,ˈræmzbɒtəm,Rams_*ˈræmz:bottom_bɒtəm
Beverley,ˈbɛvərli,Bev_*ˈbɛv:er_ər:ley_li
Cheshunt,ˈtʃɛzənt,Ches_*ˈtʃɛz:hunt_ənt
Downham+Market,ˈdaʊnəm+ˈmɑːrkɪt,Down_*ˈdaʊn:ham_əm*:+_+:Market_*ˈmɑːrkɪt
Abingdon,ˈæbɪŋdən,Ab_*ˈæb:ing_ɪŋ:don_dən
Houghton+Regis,ˈhaʊtən+ˈriːdʒɪs,Houghton_*ˈhaʊtən*:+_+:Regis_*ˈriːdʒɪs
Chipping+Norton,ˈtʃɪpɪŋ+ˈnɔːtən,Chipping_*ˈtʃɪpɪŋ*:+_+:Norton_*ˈnɔːtən
Denton,ˈdɛntən,Dent_*ˈdɛnt:on_ən
Eastleigh,ˈiːstliː,East_*ˈiːst:leigh_liː
Heanor,ˈhiːnər,Hea_*ˈhiː:nor_nər
Telford,ˈtɛlfərd,Tel_*ˈtɛl:ford_fərd
Falmouth,ˈfælməθ,Fal_*ˈfæl:mouth_məθ
Bakewell,ˈbeɪkwɛl,Bake_*ˈbeɪk:well_wɛl
Downham+Market,ˈdaʊnəm+ˈmɑːrkɪt,Down_*ˈdaʊn:ham_əm*:+_+:Market_*ˈmɑːrkɪt
Kendal,ˈkɛndəl,Ken_*ˈkɛn:dal_dəl
Stony+Stratford,ˈstəʊni+ˈstrætfərd,Stony_*ˈstəʊni*:+_+:Strat_*ˈstræt:ford_fərd
Rochford,ˈrɒtʃfəd,Roch_*ˈrɒtʃ:ford_fəd
Ambleside,ˈæmbəlsaɪd,Amb_*ˈæmb:le_əl:side_saɪd
Wallsend,ˈwɔːlzɛnd,Walls_*ˈwɔːlz:end_ɛnd
Lichfield,ˈlɪtʃfiːld,Lich_*ˈlɪtʃ:field_fiːld
Buckingham,ˈbʌkɪŋəm,Buck_*ˈbʌk:ingham_ɪŋəm
Beverley,ˈbɛvərli,Bev_*ˈbɛv:er_ər:ley_li
Walsall,ˈwɔːlsɔːl,Wal_*ˈwɔːl:sall_sɔːl
Amersham,ˈæmərsəm,Am_*ˈæm:ers_ərs:ham_əm
Uckfield,ˈʌkfild,Uck_*ˈʌk:field_fild
Tottenham,ˈtɒtənəm,Tot_*ˈtɒt:ten_ən:ham_əm
Leyburn,ˈleɪbɜːn,Ley_*ˈleɪ:burn_bɜːn
Charlbury,ˈʧɑːlbəri,Charl_*ˈʧɑːl:bury_bəri
Beverley,ˈbɛvərli,Bev_*ˈbɛv:er_ər:ley_li
Wigan,ˈwɪɡən,Wi_*ˈwɪ:gan_ɡən
Eastleigh,ˈiːstliː,East_*ˈiːst:leigh_liː
Ipswich,ˈɪpswɪtʃ,Ips_*ˈɪps:wich_wɪtʃ
Ilkley,ˈɪlklɪ,Ilk_*ˈɪlk:ley_lɪ
Ulverston,ˈʌlvərstən,Ul_*ˈʌl:ver_vər:ston_stən
Eastbourne,ˈiːstbɔːrn,East_*ˈiːst:bourne_bɔːrn
Paignton,ˈpeɪntən,Paign_*ˈpeɪn:ton_tən
Leighton Linslade,ˈleɪtən+ˈlɪnzleɪd,Leigh_*ˈleɪ:ton_tən*:+_+:Lins_*ˈlɪnz:lade_leɪd
Loughborough,ˈlʌfbrəʊ,Lough_*ˈlʌf:borough_brəʊ
Spennymoor,ˈspɛnimoəʳ,Spenny_*ˈspɛni:moor_moəʳ
Preston,ˈprɛstən,Pres_*ˈprɛs:ton_tən
Alnwick,ˈælnɪk,Aln_*ˈæln:wick_ɪk
Bromley,ˈbrɒmli,Brom_*ˈbrɒm:ley_li
Bury,ˈbɛri,Bu_*ˈbɛ:ry_ri
Banbury,ˈbænbəri,Ban_*ˈbæn:bury_bəri
Chorley,ˈtʃɔːrli,Chor_*ˈtʃɔːr:ley_li
Chesham,ˈtʃɛʃəm,Chesh_*ˈtʃɛʃ:am_əm
Rugby,ˈrʌɡbi,Rug_*ˈrʌɡ:by_bi
Waltham+Abbey,ˈwɔːlθəm+ˈæbi,Wal_*ˈwɔːl:tham_θəm*:+_+:Abbey_*ˈæbi
Royal+Tunbridge+Wells,ˈrɔɪəl+ˈtʌnbrɪdʒ+wɛlz,Royal_*ˈrɔɪəl*:+_+:Tunbridge_*ˈtʌnbrɪdʒ*:+_+:Wells_*wɛlz
Houghton+Regis,ˈhaʊtən+ˈriːdʒɪs,Houghton_*ˈhaʊtən*:+_+:Regis_*ˈriːdʒɪs
Bridgnorth,ˈbrɪdʒnɔːθ,Bridg_*ˈbrɪdʒ:north_nɔːθ
Axminster,ˈæksmɪnstəʳ,Ax_*ˈæks:minster_mɪnstəʳ
Hungerford,ˈhʌŋɡərfərd,Hunger_*ˈhʌŋɡər:ford_fərd
Arlesey,ˈɑːrlzi,Ar_*ˈɑː:le_rl:sey_zi
Eastleigh,ˈiːstliː,East_*ˈiːst:leigh_liː
Sowerby+Bridge,ˈsaʊərbi+brɪdʒ,Sow_*ˈsaʊ:er_ər:by_bi*:+_+:Bridge_*brɪdʒ
Pershore,ˈpɜːʃɔː,Per_*ˈpɜː:shore_ʃɔː
Ashburton,ˈæʃbɜːrtən,Ash_*ˈæʃ:bur_bɜːr:ton_tən
Buckingham,ˈbʌkɪŋəm,Buck_*ˈbʌk:ing_ɪŋ:ham_əm
Faringdon,ˈfærɪŋdən,Far_*ˈfær:ing_ɪŋ:don_dən
Corby,ˈkɔːrbi,Cor_*ˈkɔːr:by_bi
Eastleigh,ˈiːstliː,East_*ˈiːst:leigh_liː
Hailsham,ˈheɪlsəm,Hail_*ˈheɪl:sham_səm
Chickerell,ˈtʃɪkərəl,Chick_*ˈtʃɪk:er_ər:ell_əl
Hastings,ˈheɪstɪŋz,Hast_*ˈheɪst:ings_ɪŋz
Swindon,ˈswɪndən,Swind_*ˈswɪnd:on_ən
Eastleigh,ˈiːstliː,East_*ˈiːst:leigh_liː
Hemel+Hempstead,ˈhɛməl+ˈhɛmpstɛd,Hem_*ˈhɛm:el_əl*:+_+:Hemp_*ˈhɛmp:stead_stɛd
Swindon,ˈswɪndən,Swind_*ˈswɪnd:on_ən
Burnham+Market,ˈbɜrnəm+ˈmɑːrkɪt,Burn_*ˈbɜrn:ham_əm*:+_+:Market_*ˈmɑːrkɪt
Kirkby+Stephen,ˈkɜrbi+ˈstiːvən,Kirk_*ˈkɜr:by_bi*:+_+:Stephen_*ˈstiːvən
Blaby,ˈbleɪbi,Bla_*ˈbleɪ:by_bi
Whitnash,ˈwɪtnæʃ,Whit_*ˈwɪt:nash_næʃ
Southwold,ˈsaʊθwəʊld,South_*ˈsaʊθ:wold_wəʊld
Thatcham,ˈθætʃəm,Thatch_*ˈθætʃ:am_əm
Pitsea,ˈpɪtsi,Pit_*ˈpɪt:sea_si
Oxford,ˈɒksfəd,Ox_*ˈɒks:ford_fəd
Olney,ˈoʊlni,Ol_*ˈoʊl:ney_ni
Cotgrave,ˈkɒtɡreɪv,Cot_*ˈkɒt:grave_ɡreɪv
Wareham,ˈwɛərəm,Ware_*ˈwɛər:ham_əm
Bishop+Auckland,ˈbɪʃəp+ˈɔːklənd,Bish_*ˈbɪʃ:op_əp*:+_+:Auck_*ˈɔːk:land_lənd
Cheltenham,ˈtʃɛltənəm,Chel_*ˈtʃɛl:ten_tən:ham_əm
Dartford,ˈdɑːtfərd,Dart_*ˈdɑːt:ford_fərd
Eastleigh,ˈiːstliː,East_*ˈiːst:leigh_liː
Rochford,ˈrɒtʃfərd,Roch_*ˈrɒtʃ:ford_fərd
Bewdley,ˈbjuːdli,Bew_*ˈbjuː:dley_dli
Ramsbottom,ˈræmzbɒtəm,Ram_*ˈræm:s_z:bottom_bɒtəm
Alnwick,ˈælnɪk,Al_*ˈæl:nwick_nɪk
Barnsley,ˈbɑːrnzli,Barns_*ˈbɑːrnz:ley_li
Wokingham,ˈwəʊkɪŋəm,Wok_*ˈwəʊk:ing_ɪŋ:ham_əm
Buckingham,ˈbʌkɪŋəm,Buck_*ˈbʌk:ing_ɪŋ:ham_əm
Portsmouth,ˈpɔːtsməθ,Port_*ˈpɔːt:s_sm:mouth_əθ
Ilkley,ˈɪlkli,Ilk_*ˈɪlk:ley_li
Belper,ˈbɛlpəɹ,Bel_*ˈbɛl:per_pəɹ
Eynsham,ˈeɪnʃəm,Eyn_*ˈeɪn:sham_əm
Rochford,ˈrɒtʃfərd,Roch_*ˈrɒtʃ:ford_fərd
Arbroath,ˈɑːrbroʊθ,Ar_*ˈɑːr:broath_broʊθ
Royston,ˈrɔɪstən,Roy_*ˈrɔɪ:ston_stən
Burford,ˈbɜːrfəd,Bur_*ˈbɜːr:ford_fəd
North+Petherton,ˈnɔːrθ+ˈpɛθərtən,North_*ˈnɔːrθ*:+_+:Peth_*ˈpɛθ:er_ər:ton_tən
Nailsea,ˈneɪlsiː,Nail_*ˈneɪl:sea_siː
South+Molton,ˈsaʊθ+ˈməʊltən,South_*ˈsaʊθ*:+_+:Mol_*ˈməʊl:ton_tən
Fairfield,ˈfeərfild,Fair_*ˈfeər:field_fild
Kesgrave,ˈkɛsɡreɪv,Kes_*ˈkɛs:grave_ɡreɪv
Uckfield,ˈʌkfiːld,Uck_*ˈʌk:field_fiːld
Bridport,ˈbrɪdpɔːrt,Brid_*ˈbrɪd:port_pɔːrt
Eccleshall,ˈɛkəlʃɔːl,Eccle_*ˈɛkəl:shall_ʃɔːl
Runcorn,ˈrʌnkɔːn,Run_*ˈrʌn:corn_kɔːn
Uppingham,ˈʌpɪŋəm,Up_*ˈʌp:ping_ɪŋ:ham_əm
Runcorn,ˈrʌnkɔːn,Run_*ˈrʌn:corn_kɔːn
Evesham,ˈiːvʃəm,Eve_*ˈiːv:sham_ʃəm
Cricklade,ˈkrɪkleɪd,Crick_*ˈkrɪk:lade_leɪd
Ealing,ˈiːlɪŋ,Eal_*ˈiːl:ing_ɪŋ
Harlow,ˈhɑːrloʊ,Har_*ˈhɑːr:low_loʊ
Preston,ˈprɛstən,Pres_*ˈprɛs:ton_tən
Brentwood,ˈbrɛntwʊd,Brent_*ˈbrɛnt:wood_wʊd
Brackley,ˈbrækli,Brack_*ˈbræk:ley_li
Verwood,ˈvɜːrwʊd,Ver_*ˈvɜːr:wood_wʊd
Horsham,ˈhɔːrʃəm,Hor_*ˈhɔːr:sham_ʃəm
Alnwick,ˈælnɪk,Aln_*ˈæln:wick_ɪk
London,ˈlʌndən,Lon_*ˈlʌn:don_dən
Hartlepool,ˈhɑːrtlpuːl,Hart_*ˈhɑːrt:le_l:pool_puːl
Harrow,ˈhærəʊ,Har_*ˈhær:row_əʊ
Frodsham,ˈfrɒdʃəm,Frod_*ˈfrɒd:sham_ʃəm
Pershore,ˈpɜːrʃəʊ,Per_*ˈpɜːr:shore_ʃəʊ
Brentwood,ˈbrɛntwʊd,Brent_*ˈbrɛnt:wood_wʊd
Worthing,ˈwɜːrðɪŋ,Worth_*ˈwɜːr:ing_ðɪŋ
Kingsbridge,ˈkɪŋzbrɪdʒ,Kings_*ˈkɪŋz:bridge_brɪdʒ
Leatherhead,ˈlɛðərhɛd,Leath_*ˈlɛð:er_ər:head_hɛd
Haslemere,ˈheɪzlmɪər,Has_*ˈheɪz:le_lm:mere_ɪər
Burnley,ˈbɜːrnli,Burn_*ˈbɜːrn:ley_li
Royston,ˈrɔɪstən,Roy_*ˈrɔɪ:ston_stən
Broseley,ˈbroʊzli,Bro_*ˈbroʊ:se_z:ley_li
Glossop,ˈɡlɒsəp,Glos_*ˈɡlɒs:sop_əp
Kirkby+Lonsdale,ˈkɜːrbi+ˈlɒnzdeɪl,Kirk_*ˈkɜːr:by_bi*:+_+:Lons_*ˈlɒnz:dale_deɪl
Walsall,ˈwɔːlsɔːl,Wal_*ˈwɔːl:sall_sɔːl
Brampton,ˈbræmptən,Bram_*ˈbræm:p_pt:ton_ən
Shepton+Mallet,ˈʃɛptən+ˈmælɪt,Shep_*ˈʃɛp:ton_tən*:+_+:Mallet_*ˈmælɪt
Banbury,ˈbænbəri,Ban_*ˈbæn:bury_bəri
Stonehouse,ˈstəʊnhaʊs,Stone_*ˈstəʊn:house_haʊs
Trowbridge,ˈtroʊbrɪdʒ,Trow_*ˈtroʊ:bridge_brɪdʒ
Eastleigh,ˈiːstliː,East_*ˈiːst:leigh_liː
Cranbrook,ˈkrænbʊk,Cran_*ˈkræn:brook_bʊk
Barnsley,ˈbɑːrnzli,Barns_*ˈbɑːrnz:ley_li
Heckmondwike,ˈhɛkməndwaɪk,Heck_*ˈhɛk:mond_mənd:wike_waɪk
